Merchant / Description,Date,Amount,Paid By,Split Details Table,Receipt (optional),Paid
Walmart Order (Shrimp),"January 18, 2026",CA$97.08,Person A,Person B's Walmart Food Split (Shrimp) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Shrimp-2ec61377bcc380849158e3fb5a28876f?pvs=21),Order_details_-_Walmart.ca_(shrimp_stir_fry).pdf,0
Walmart Order,"January 18, 2026",CA$92.01,Person A,Person B's Walmart Food Split (https://www.notion.so/Person-B-s-Walmart-Food-Split-2ec61377bcc380cd9ac9d6333b9952ef?pvs=21),Order_details_Greek_Chicken.pdf,0
Amazon Order (Scale),"January 19, 2026",CA$32.53,Person A,Person B's Scale Split (https://www.notion.so/Person-B-s-Scale-Split-2ed61377bcc3806597e1d895c892e8f0?pvs=21),invoice-3.pdf,0
Amazon Order (Table Trey),"January 20, 2026",CA$29.37,Person A,Person B's Tray Split (https://www.notion.so/Person-B-s-Tray-Split-2ef61377bcc380babc83e3b76ea86eb9?pvs=21),table-tray.pdf,0
Walmart Delivery Pass,"January 20, 2026",CA$100.57,Person A,Person B's Walmart Delivery Pass Split (https://www.notion.so/Person-B-s-Walmart-Delivery-Pass-Split-2ee61377bcc380b989c0cd2114252fc4?pvs=21),Delevery_Pass_recipt.pdf,0
"Walmart Order (Teriyaki Chicken) ","January 21, 2026",CA$106.14,Person A,Person B's Walmart Food Split (Teriyaki Chicken) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Teriyaki-Chicken-2ef61377bcc380dca0e6cf5001258484?pvs=21),Order_details_-_Teriaki_Chicken.pdf,0
Electrical Bill (Jan),"January 25, 2026",CA$131.36,Person A,Person B's Electrical Bill Split (Feb) (https://www.notion.so/Person-B-s-Electrical-Bill-Split-Feb-2f361377bcc380edbbf0e81bb7c15b1e?pvs=21),7456109.pdf,0
Amazon Order (Bulbs),"January 25, 2026",CA$20.33,Person A,Person B's Amazon Order Split (Bulbs) (https://www.notion.so/Person-B-s-Amazon-Order-Split-Bulbs-2f361377bcc3807fad1ec86c3cc6d2d1?pvs=21),invoice-4.pdf,0
Amazon Order (Club Soda),"January 27, 2026",CA$33.87,Person A,Person B's Amazon Split (Club Soda) (https://www.notion.so/Person-B-s-Amazon-Split-Club-Soda-2f661377bcc3809a9560f2c1aa47db5e?pvs=21),Club_Soda.pdf,0
Walmart Basics Food Split,"January 28, 2026",CA$76.48,Person A,"Person B's Walmart Basics Food Split (Eggs, Onion, Fiber 1) (https://www.notion.so/Person-B-s-Walmart-Basics-Food-Split-Eggs-Onion-Fiber-1-2f661377bcc380b394d2e8798ee6f6fd?pvs=21)",Order_details_-_Walmart.ca_basics.pdf,0
Rent (Feb),"January 28, 2026","CA$3,400.00",Person B,Person A's Rent Split (Feb) (https://www.notion.so/Person-A-s-Rent-Split-Feb-2f661377bcc380cf9db4c30bd3db470f?pvs=21),,0
Youtube Premium,"January 28, 2026",CA$17.32,Person A,Person B's YT Premium Split (Feb) (https://www.notion.so/Person-B-s-YT-Premium-Split-Feb-2f661377bcc3809f989dfb007247bdb8?pvs=21),,0
Walmart Food Krupnik,"January 30, 2026",CA$39.96,Person A,Person B' Walmart Food Split (Krupnik) (https://www.notion.so/Person-B-Walmart-Food-Split-Krupnik-2fa61377bcc380339bb7cc3e509e2697?pvs=21),Order_details_-_basics.pdf,0
Walmart Food Order Basics,"February 1, 2026",CA$44.58,Person A,Person B's Walmart Food Split (Basics) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Basics-30161377bcc380fda0adefd813c659a1?pvs=21),Order_details_-_Walmart.ca_(basics).pdf,0
Longo's Groceries Honey Salmon Bowl,"February 2, 2026",CA$63.54,Person B,Person A's Longo's Groceries Share (https://www.notion.so/Person-A-s-Longo-s-Groceries-Share-2fc61377bcc3809c936cfb4f7e20b5f1?pvs=21),,0
Netflix,"February 2, 2026",CA$23.99,Person B,Person A's Netflix Payment (Feb) (https://www.notion.so/Person-A-s-Netflix-Payment-Feb-2fc61377bcc3804fb68bd28f05db009e?pvs=21),,0
TV Payment (Feb),"February 3, 2026",CA$477.84,Person A,Person B's TV Payment (Feb) (https://www.notion.so/Person-B-s-TV-Payment-Feb-2fa61377bcc380089f48ee019e039d3e?pvs=21),,0
Walmart Food Order (Shrimp Stir Fry),"February 4, 2026",CA$64.18,Person A,Person B's Walmart Food Split (Shrimp Stir Fry) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Shrimp-Stir-Fry-30161377bcc3801e9de0f9a7d95d2ab1?pvs=21),Order_details_-_Walmart.ca_(Shrip_Stir_Fry).pdf,0
Walmart Food Order (Chipotle Chicken),"February 6, 2026",CA$79.50,Person A,Person B's Walmart Food Split (Chipotle Chicken) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Chipotle-Chicken-30161377bcc3807aa6add74c1481b0c8?pvs=21),Order_details_-_Walmart.ca_(Chipotle_Chicken).pdf,0
Walmart Food Order (Tomato Soup),"February 7, 2026",CA$65.95,Person A,Person B's Walmart Food Split (Tomato Soup and Hummus) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Tomato-Soup-and-Hummus-30161377bcc3801da0dac70812d4e239?pvs=21),Order_details_-_Walmart.ca_(Tromato_Soup).pdf,0
Walmart Food Order (Mediterranean Chicken),"February 8, 2026",CA$78.77,Person A,Person B's Walmart Food Split (Mediterranean Chicken) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Mediterranean-Chicken-30661377bcc380c5b6d9e8f0445342f0?pvs=21),Order_details_-_Walmart.ca_Mediteranian_Chicken.pdf,0
Parking (March),"February 9, 2026",CA$300.00,Person B,Person A's Parking Share (Mar) (https://www.notion.so/Person-A-s-Parking-Share-Mar-30661377bcc3804f8a2ee75d8891568c?pvs=21),,0
Walmart Order (Basics),"February 12, 2026",CA$50.91,Person A,Person B's Walmart Food Split (Basics) (https://www.notion.so/Person-B-s-Walmart-Food-Split-Basics-30661377bcc380a7bf2dedece67d6c1d?pvs=21),Order_details_-_Walmart.ca_basics2.pdf,0